name;open;high;low;close;volume;marketCap;timestamp
"2781";0.437899422;0.8223399084;0.4076954443;0.7567209114;45343068.22;0;"2024-03-13T00:00:00.000Z"
"2781";0.755991032;1.7975902897;0.7432007845;1.6888465254;107909747.93;0;"2024-03-14T00:00:00.000Z"
"2781";1.6934545377;2.1451410074;1.0699840296;1.3582145798;98422885.84;0;"2024-03-15T00:00:00.000Z"
"2781";1.363149537;1.5017203529;0.7892649087;1.0242493632;74537285.02;0;"2024-03-16T00:00:00.000Z"
"2781";1.0262294318;1.5381469736;0.9328198942;1.5259156718;45281720.01;0;"2024-03-17T00:00:00.000Z"
"2781";1.3839110093;1.4324891453;0.8078632004;0.8404769551;50589837.3;0;"2024-03-18T00:00:00.000Z"
"2781";0.8833524299;0.8884241747;0.5507062218;0.6485168345;37558402.01;0;"2024-03-19T00:00:00.000Z"
"2781";0.6440588171;0.9633699417;0.5483483454;0.7890111523;31185703.48;0;"2024-03-20T00:00:00.000Z"
"2781";0.7880362347;0.825544088;0.5832726559;0.6699323734;22063898.38;0;"2024-03-21T00:00:00.000Z"
"2781";0.6698559385;0.6714363277;0.4608929662;0.5053998586;20570354.09;0;"2024-03-22T00:00:00.000Z"
"2781";0.5053247187;0.5943144667;0.4551082032;0.4609997427;14027194.22;0;"2024-03-23T00:00:00.000Z"
"2781";0.4615792285;0.6882052776;0.4127979585;0.5738756495;25178877.36;0;"2024-03-24T00:00:00.000Z"
"2781";0.5731073116;0.7784810777;0.56445296;0.6296732242;23576777.67;0;"2024-03-25T00:00:00.000Z"
"2781";0.6299460252;0.6300571311;0.4649212553;0.505902523;20338654.06;0;"2024-03-26T00:00:00.000Z"
"2781";0.5069988622;0.5488100683;0.4184549851;0.4496961216;14683408.36;0;"2024-03-27T00:00:00.000Z"
"2781";0.4497695418;0.4993349272;0.3483030071;0.4247246188;22251710.06;0;"2024-03-28T00:00:00.000Z"
"2781";0.4252273661;0.4453579685;0.3132074644;0.329246693;16149940.89;0;"2024-03-29T00:00:00.000Z"
"2781";0.3296830666;0.3747618854;0.2896164539;0.291434619;14384642.33;0;"2024-03-30T00:00:00.000Z"
"2781";0.291434619;0.3796291418;0.2911088804;0.3596392696;11097732.59;0;"2024-03-31T00:00:00.000Z"
"2781";0.3592491108;0.3593133239;0.2647629492;0.2709942279;8319372.43;0;"2024-04-01T00:00:00.000Z"
"2781";0.2708936314;0.2710584547;0.2080448765;0.2226103295;10269066.3;0;"2024-04-02T00:00:00.000Z"
"2781";0.2225942033;0.2727492841;0.2146234971;0.2696241903;6988375.3;0;"2024-04-03T00:00:00.000Z"
"2781";0.2696443906;0.2748682605;0.2278905738;0.2413358035;4603038.55;0;"2024-04-04T00:00:00.000Z"
"2781";0.2413358035;0.2417426413;0.2012410625;0.2142333793;3533971.02;0;"2024-04-05T00:00:00.000Z"
"2781";0.2142333793;0.2147480411;0.1661539793;0.1731732602;5203328.52;0;"2024-04-06T00:00:00.000Z"
"2781";0.1731732602;0.2055755573;0.1624963109;0.1747191919;3990068.67;0;"2024-04-07T00:00:00.000Z"
"2781";0.1747955076;0.2599052056;0.1704256943;0.2387423523;5542857.97;0;"2024-04-08T00:00:00.000Z"
"2781";0.2382633691;0.3204560364;0.2217176534;0.2580368733;11851028.38;0;"2024-04-09T00:00:00.000Z"
"2781";0.2579739305;0.3928562418;0.2579739305;0.3473329758;14165804.86;0;"2024-04-10T00:00:00.000Z"
"2781";0.3473329758;0.5083559497;0.3472099254;0.4117238163;26416037.62;0;"2024-04-11T00:00:00.000Z"
