timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-06-14T00:00:00.000Z";"2021-06-14T23:59:59.999Z";"2021-06-14T18:24:08.000Z";"2021-06-14T03:45:17.000Z";"2781";0.01009342;0.01081439;0.00972365;0.01001684;639551.12;69889545.82;"2021-06-14T23:59:59.999Z"
"2021-06-13T00:00:00.000Z";"2021-06-13T23:59:59.999Z";"2021-06-13T21:30:15.000Z";"2021-06-13T16:02:08.000Z";"2781";0.00997482;0.01061665;0.00904258;0.01009224;576600.87;70415633.98;"2021-06-13T23:59:59.999Z"
"2021-06-12T00:00:00.000Z";"2021-06-12T23:59:59.999Z";"2021-06-12T16:06:09.000Z";"2021-06-12T08:43:08.000Z";"2781";0.01010771;0.01063856;0.00920374;0.00997443;593531.64;69593650.68;"2021-06-12T23:59:59.999Z"
"2021-06-11T00:00:00.000Z";"2021-06-11T23:59:59.999Z";"2021-06-11T00:01:09.000Z";"2021-06-11T22:39:08.000Z";"2781";0.01097318;0.01128983;0.00980536;0.01010522;523317.63;70506208.66;"2021-06-11T23:59:59.999Z"
"2021-06-10T00:00:00.000Z";"2021-06-10T23:59:59.999Z";"2021-06-10T04:37:08.000Z";"2021-06-10T19:52:11.000Z";"2781";0.01114805;0.01198153;0.0104923;0.01097319;527344.68;76562205.48;"2021-06-10T23:59:59.999Z"
"2021-06-09T00:00:00.000Z";"2021-06-09T23:59:59.999Z";"2021-06-09T23:42:10.000Z";"2021-06-09T10:14:08.000Z";"2781";0.01098313;0.01119095;0.00959026;0.01114526;549480.11;77762780.56;"2021-06-09T23:59:59.999Z"
"2021-06-08T00:00:00.000Z";"2021-06-08T23:59:59.999Z";"2021-06-08T00:06:09.000Z";"2021-06-08T19:10:09.000Z";"2781";0.01217692;0.0121948;0.01056211;0.0109839;975334.74;76636919.64;"2021-06-08T23:59:59.999Z"
"2021-06-07T00:00:00.000Z";"2021-06-07T23:59:59.999Z";"2021-06-07T11:00:14.000Z";"2021-06-07T23:55:10.000Z";"2781";0.01442121;0.0156517;0.01188462;0.01218396;787597.16;85010023.75;"2021-06-07T23:59:59.999Z"
"2021-06-06T00:00:00.000Z";"2021-06-06T23:59:59.999Z";"2021-06-06T15:56:08.000Z";"2021-06-06T04:14:09.000Z";"2781";0.01248335;0.01624046;0.01231527;0.01441371;753168.75;100567389.5;"2021-06-06T23:59:59.999Z"
"2021-06-05T00:00:00.000Z";"2021-06-05T23:59:59.999Z";"2021-06-05T16:53:08.000Z";"2021-06-05T00:46:08.000Z";"2781";0.01144562;0.01342564;0.01104258;0.01249849;325792.47;87204523.29;"2021-06-05T23:59:59.999Z"
"2021-06-04T00:00:00.000Z";"2021-06-04T23:59:59.999Z";"2021-06-04T00:08:12.000Z";"2021-06-04T16:25:08.000Z";"2781";0.01258248;0.01288248;0.01044199;0.01145295;210114.49;79909600.88;"2021-06-04T23:59:59.999Z"
"2021-06-03T00:00:00.000Z";"2021-06-03T23:59:59.999Z";"2021-06-03T23:33:20.000Z";"2021-06-03T00:28:10.000Z";"2781";0.0121364;0.01319002;0.01180827;0.01257937;170607.47;87768816.78;"2021-06-03T23:59:59.999Z"
"2021-06-02T00:00:00.000Z";"2021-06-02T23:59:59.999Z";"2021-06-02T00:25:09.000Z";"2021-06-02T00:53:08.000Z";"2781";0.01267376;0.0135442;0.01193205;0.01213926;139349.33;84698102.8;"2021-06-02T23:59:59.999Z"
"2021-06-01T00:00:00.000Z";"2021-06-01T23:59:59.999Z";"2021-06-01T17:18:12.000Z";"2021-06-01T20:24:08.000Z";"2781";0.01244234;0.01385657;0.01190113;0.01267046;414113.48;88404388.59;"2021-06-01T23:59:59.999Z"
"2021-05-31T00:00:00.000Z";"2021-05-31T23:59:59.999Z";"2021-05-31T16:23:10.000Z";"2021-05-31T03:56:11.000Z";"2781";0.01085672;0.01288033;0.01050935;0.01243015;235506.89;86727735.93;"2021-05-31T23:59:59.999Z"
"2021-05-30T00:00:00.000Z";"2021-05-30T23:59:59.999Z";"2021-05-30T08:22:11.000Z";"2021-05-30T00:39:09.000Z";"2781";0.01050699;0.01130118;0.00994958;0.0108591;73399.57;75766183.43;"2021-05-30T23:59:59.999Z"
"2021-05-29T00:00:00.000Z";"2021-05-29T23:59:59.999Z";"2021-05-29T05:28:09.000Z";"2021-05-29T20:26:10.000Z";"2781";0.01101199;0.01152576;0.00987509;0.01048239;70982.16;73137790.72;"2021-05-29T23:59:59.999Z"
"2021-05-28T00:00:00.000Z";"2021-05-28T23:59:59.999Z";"2021-05-28T05:58:11.000Z";"2021-05-28T22:34:09.000Z";"2781";0.01161425;0.01244616;0.01060318;0.0110093;144078.49;76814129.09;"2021-05-28T23:59:59.999Z"
"2021-05-27T00:00:00.000Z";"2021-05-27T23:59:59.999Z";"2021-05-27T00:56:08.000Z";"2021-05-27T20:48:17.000Z";"2781";0.01310977;0.01317381;0.01141348;0.01160965;181054.7;81002889.72;"2021-05-27T23:59:59.999Z"
"2021-05-26T00:00:00.000Z";"2021-05-26T23:59:59.999Z";"2021-05-26T23:49:08.000Z";"2021-05-26T07:00:09.000Z";"2781";0.01196867;0.01333948;0.01134372;0.01311074;294214.95;91476291.59;"2021-05-26T23:59:59.999Z"
"2021-05-25T00:00:00.000Z";"2021-05-25T23:59:59.999Z";"2021-05-25T07:05:09.000Z";"2021-05-25T11:21:09.000Z";"2781";0.01230812;0.01341334;0.01114473;0.01195709;196950.21;83427081.84;"2021-05-25T23:59:59.999Z"
"2021-05-24T00:00:00.000Z";"2021-05-24T23:59:59.999Z";"2021-05-24T17:24:10.000Z";"2021-05-24T00:07:08.000Z";"2781";0.01003244;0.01313277;0.00992222;0.0122972;231219.68;85800098.55;"2021-05-24T23:59:59.999Z"
"2021-05-23T00:00:00.000Z";"2021-05-23T23:59:59.999Z";"2021-05-23T03:56:08.000Z";"2021-05-23T19:06:08.000Z";"2781";0.01164446;0.0125772;0.00829621;0.01003768;278434.6;70034951.07;"2021-05-23T23:59:59.999Z"
"2021-05-22T00:00:00.000Z";"2021-05-22T23:59:59.999Z";"2021-05-22T01:30:07.000Z";"2021-05-22T09:22:07.000Z";"2781";0.01241288;0.01295458;0.01055627;0.01164131;341646.11;81223816.44;"2021-05-22T23:59:59.999Z"
"2021-05-21T00:00:00.000Z";"2021-05-21T23:59:59.999Z";"2021-05-21T12:19:08.000Z";"2021-05-21T21:22:07.000Z";"2781";0.01256645;0.01428268;0.01102516;0.01240651;282776.09;86562797.22;"2021-05-21T23:59:59.999Z"
"2021-05-20T00:00:00.000Z";"2021-05-20T23:59:59.999Z";"2021-05-20T12:35:08.000Z";"2021-05-20T01:43:08.000Z";"2781";0.01344946;0.01506093;0.01085747;0.01256553;278820.5;87672279.25;"2021-05-20T23:59:59.999Z"
"2021-05-19T00:00:00.000Z";"2021-05-19T23:59:59.999Z";"2021-05-19T00:29:08.000Z";"2021-05-19T13:16:08.000Z";"2781";0.01720096;0.01781762;0.01027485;0.01345938;405637.49;93908886.75;"2021-05-19T23:59:59.999Z"
"2021-05-18T00:00:00.000Z";"2021-05-18T23:59:59.999Z";"2021-05-18T22:41:08.000Z";"2021-05-18T03:44:07.000Z";"2781";0.01552691;0.0178396;0.01513378;0.01720668;375725.89;120054544.72;"2021-05-18T23:59:59.999Z"
"2021-05-17T00:00:00.000Z";"2021-05-17T23:59:59.999Z";"2021-05-17T03:13:08.000Z";"2021-05-17T21:59:08.000Z";"2781";0.0162678;0.02025005;0.01462749;0.01550692;1167060.43;108194981.07;"2021-05-17T23:59:59.999Z"
"2021-05-16T00:00:00.000Z";"2021-05-16T23:59:59.999Z";"2021-05-16T20:46:09.000Z";"2021-05-16T00:55:09.000Z";"2781";0.01401019;0.01670965;0.01365296;0.01625821;423506.2;113436884.13;"2021-05-16T23:59:59.999Z"
"2021-05-15T00:00:00.000Z";"2021-05-15T23:59:59.999Z";"2021-05-15T15:56:10.000Z";"2021-05-15T16:23:09.000Z";"2781";0.01391803;0.01498464;0.01318347;0.01401251;267924.74;97768146.23;"2021-05-15T23:59:59.999Z"
"2021-05-14T00:00:00.000Z";"2021-05-14T23:59:59.999Z";"2021-05-14T15:33:15.000Z";"2021-05-14T04:35:10.000Z";"2781";0.0136779;0.01492422;0.01230516;0.01392502;741153.05;97157718.08;"2021-05-14T23:59:59.999Z"
"2021-05-13T00:00:00.000Z";"2021-05-13T23:59:59.999Z";"2021-05-13T07:20:08.000Z";"2021-05-13T11:38:11.000Z";"2781";0.01324334;0.01442853;0.01265542;0.01365925;363273.84;95303403.89;"2021-05-13T23:59:59.999Z"
"2021-05-12T00:00:00.000Z";"2021-05-12T23:59:59.999Z";"2021-05-12T02:59:12.000Z";"2021-05-12T23:59:06.000Z";"2781";0.0151145;0.01626964;0.01331727;0.01331727;410919.56;92917313.76;"2021-05-12T23:59:59.999Z"
"2021-05-11T00:00:00.000Z";"2021-05-11T23:59:59.999Z";"2021-05-11T04:46:10.000Z";"2021-05-11T23:25:11.000Z";"2781";0.0155546;0.01886315;0.01467176;0.01511279;639843.12;105445022.02;"2021-05-11T23:59:59.999Z"
"2021-05-10T00:00:00.000Z";"2021-05-10T23:59:59.999Z";"2021-05-10T08:22:08.000Z";"2021-05-10T23:37:11.000Z";"2781";0.01742544;0.01824715;0.01531671;0.01553791;358559.42;108411195.85;"2021-05-10T23:59:59.999Z"
